City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
476,pimentel,-6.8367,-79.9342,30.16,66,75,4.12,PE,1680642728
477,oum hadjer,13.2954,19.6966,31.92,13,98,3.69,TD,1680642728
478,loralai,30.3705,68.598,14.75,46,0,2.04,PK,1680642730
479,santa ana,33.7456,-117.8678,19.96,29,0,6.17,US,1680642678
480,kingisepp,59.3733,28.6134,-1.4,98,100,2.13,RU,1680642730
481,ogbomosho,8.133,4.25,27.1,66,99,3.65,NG,1680642731
482,vigrestad,58.5667,5.7,3.87,78,11,3.8,NO,1680642731
483,borgarnes,64.5383,-21.9206,7.67,89,95,2.26,IS,1680642731
484,nanortalik,60.1432,-45.2371,0.01,93,100,1.79,GL,1680642732
485,ilo,-17.6394,-71.3375,24.48,73,0,6.69,PE,1680642732
486,trincomalee,8.5711,81.2335,26.42,81,0,2.21,LK,1680642648
487,gamba,-2.65,10.0,25.39,88,88,2.36,GA,1680642733
488,castellana grotte,40.8864,17.1655,7.13,75,71,7.32,IT,1680642733
489,camacha,33.0833,-16.3333,15.68,72,75,9.26,PT,1680642734
490,jardim,-21.4803,-56.1381,28.61,60,31,0.83,BR,1680642735
491,bosaso,11.2842,49.1816,27.79,76,16,0.35,SO,1680642731
492,knysna,-34.0363,23.0471,16.39,85,9,2.05,ZA,1680642735
493,bandiagara,14.3501,-3.6104,29.37,8,0,2.58,ML,1680642735
494,puranpur,28.5167,80.15,19.77,49,0,3.19,IN,1680642736
495,waddan,29.1614,16.139,17.86,18,0,2.04,LY,1680642730
496,lodeynoye pole,60.726,33.5531,0.41,98,100,2.13,RU,1680642736
497,hambantota,6.1241,81.1185,25.78,80,66,1.24,LK,1680642737
498,popondetta,-8.7537,148.2534,23.65,91,88,1.22,PG,1680642737
499,tutoia,-2.7619,-42.2744,25.26,85,65,2.2,BR,1680642738
500,lata,40.1629,-8.3327,15.04,44,0,2.17,PT,1680642738
501,kavaratti,10.5669,72.642,27.43,73,3,4.03,IN,1680642738
502,kilindoni,-7.9139,39.6668,27.18,78,90,3.02,TZ,1680642721
503,kalispell,48.1958,-114.3129,6.76,35,0,3.09,US,1680642490
504,canico,32.6333,-16.85,18.73,78,40,7.72,PT,1680642740
505,poronaysk,49.2167,143.1167,-1.3,67,82,3.17,RU,1680642741
506,nelspruit,-25.4745,30.9703,15.12,95,81,0.34,ZA,1680642742
507,hamilton,39.1834,-84.5333,23.85,76,20,4.63,US,1680642738
508,watsa,3.0372,29.5355,18.74,79,53,1.64,CD,1680642743
509,bartica,6.4,-58.6167,29.18,62,99,2.67,GY,1680642743
510,codrington,-38.2667,141.9667,10.79,96,28,2.54,AU,1680642744
511,xiangfan,32.0422,112.1448,7.61,87,81,2.21,CN,1680642745
512,ewa beach,21.3156,-158.0072,26.97,77,40,6.17,US,1680642745
513,san matias,-16.3667,-58.4,28.38,75,24,1.81,BO,1680642746
514,hit,33.6416,42.8251,21.46,38,28,4.54,IQ,1680642747
515,campoverde,-8.4753,-74.8058,30.83,83,100,1.54,PE,1680642747
516,mpika,-11.8343,31.4529,15.91,99,46,2.01,ZM,1680642747
517,acapulco,16.8634,-99.8901,30.9,62,20,7.72,MX,1680642586
518,enshi,30.3,109.4833,13.24,93,100,0.91,CN,1680642748
519,derzhavinsk,51.1,66.3167,6.23,58,37,4.82,KZ,1680642748
520,sinnamary,5.3833,-52.95,26.24,76,80,4.67,GF,1680642749
521,mabay,6.0577,124.4666,24.27,82,99,1.61,PH,1680642749
522,valera,9.3178,-70.6036,28.73,64,57,0.63,VE,1680642542
523,bereda,43.2686,-7.5406,5.64,100,5,2.27,ES,1680642750
524,kashan,33.9831,51.4364,17.93,31,42,0.73,IR,1680642750
525,payo,-3.7508,103.6372,21.89,98,100,0.62,ID,1680642750
526,yima,34.7381,111.8839,6.51,88,30,0.64,CN,1680642751
527,bilma,18.6853,12.9164,26.48,9,69,2.62,NE,1680642752
528,paracuru,-3.41,-39.0306,25.06,80,51,1.49,BR,1680642534
529,araouane,18.9048,-3.5265,27.76,4,52,4.41,ML,1680642753
530,erbaa,40.6689,36.5675,18.34,47,47,5.76,TR,1680642551
531,marataizes,-21.0433,-40.8244,24.26,81,64,3.09,BR,1680642755
532,san policarpo,12.1791,125.5072,25.5,69,100,3.88,PH,1680642756
533,juxtlahuaca,17.4294,-99.1467,33.39,27,21,4.88,MX,1680642756
534,kysyl-syr,63.8986,122.7617,-15.45,94,100,4.9,RU,1680642757
535,sur,22.5667,59.5289,24.02,63,1,2.29,OM,1680642757
536,asau,46.4333,26.4,-1.49,96,100,3.75,RO,1680642758
537,gujan-mestras,44.6333,-1.0667,10.26,57,0,2.06,FR,1680642759
538,razdolinsk,58.4211,94.6658,-18.24,97,10,1.64,RU,1680642759
539,lingyuan,41.24,119.4011,2.97,51,100,5.97,CN,1680642759
540,kinkala,-4.3614,14.7644,21.0,96,100,0.8,CG,1680642672
541,baisha,26.5222,110.9311,14.84,95,100,1.71,CN,1680642760
542,saint-joseph,-21.3667,55.6167,24.21,82,17,1.35,RE,1680642760
543,torbat-e jam,35.244,60.6225,9.73,75,7,2.12,IR,1680642760
544,gigmoto,13.7796,124.39,24.2,67,72,3.36,PH,1680642761
545,azuaga,38.2667,-5.6833,10.74,21,24,4.02,ES,1680642761
